ID_особи,Пол,Порода,Дата_Рождения,Родитель_папа,Родитель_мама,Удой л/день,Упитанность,Коэффициент инбридинга (F),Прирост веса кг/день,Здоровье (1-10),Фертильность (%),Генетическая ценность (баллы)
0001,Самка,Симентальская,2022-12-22,1996,0150,,4,"0,17",,8,76,93
0002,Самка,Герефорд,2018-02-07,7154,6500,"37,47824223",4,"0,15","1,18",5,,87
0003,Самец,Швицкая,2023-07-04,9107,1784,"21,73020193",3,"0,07",,5,,70
0004,Самец,Герефорд,2022-10-08,3959,1785,"22,62540038",2,"0,12",,9,82,84
0005,Самка,Айрширская,2020-10-07,6921,4409,,3,"0,14",,6,,87
0006,Самка,Голштинская,2019-08-26,7942,7035,"35,59061139",5,"0,01",,7,88,86
0007,Самец,Герефорд,2022-03-04,9472,9004,,4,"0,11",,5,,85
0008,Самец,Голштинская,2018-09-10,4911,4832,"27,83316567",3,"0,15","1,16",5,83,90
0009,Самка,Швицкая,2021-01-06,4541,4438,,4,"0,11",,8,,89
0010,Самец,Швицкая,2019-02-11,8472,5760,"27,69004772",4,"0,19",,10,92,84
0011,Самка,Герефорд,2020-05-06,8918,8715,"38,73434951",3,"0,09","1,44",7,94,79
0012,Самец,Герефорд,2023-07-22,4071,2834,"31,89795579",3,"0,02","1,06",8,,70
0013,Самка,Швицкая,2018-04-27,2086,8280,"25,95564726",4,"0,12","1,41",5,91,79
0014,Самка,Симентальская,2019-02-22,6282,0722,"34,88262919",2,"0,11",,8,,77
0015,Самец,Герефорд,2021-11-28,6636,0193,,3,"0,1","0,98",7,,70
0016,Самец,Айрширская,2018-05-03,6688,0861,,4,"0,06",,7,,84
0017,Самец,Голштинская,2022-05-18,8779,8750,"30,42260031",3,"0,08",,10,93,76
0018,Самка,Швицкая,2022-06-18,3172,1309,,5,"0,07","1,3",9,,91
0019,Самка,Герефорд,2018-11-08,1212,7026,"27,25934223",4,"0,1",,9,81,92
0020,Самец,Голштинская,2018-11-24,1732,5512,"39,83852117",4,"0,12",,7,81,71
0021,Самец,Швицкая,2022-09-11,4976,4177,"25,81897585",4,"0,1",,6,89,95
0022,Самка,Айрширская,2018-09-09,6390,0937,"23,09729927",3,"0,17","0,95",7,,80
0023,Самец,Швицкая,2021-05-24,3613,0650,"23,52665324",4,"0,14",,8,80,87
